,user,time,location,text
0,taylorciaraa,2020-10-01 15:36:13,"San Antonio, TX",@Alien_Kitten_ Nothing crazy! I didn’t do any crazy diet/exercise. I just tried to to cut out(as much as possible)… https://t.co/qgyY32us75
1,AsiatuCoach,2020-10-01 15:36:13,,"Autism is so stigmatized, that parents avoid the label to the extent that Non Verbal Learning Disorder was birthed… https://t.co/H0kGSASsNd"
2,oohjeanlu,2020-10-01 15:36:11,世勋 | 鹿晗,i've said this before on my 2nd acc but i'll say this again. i hope fans would stop asking sehun abt his figure. if… https://t.co/wrFAnivdCu
3,TIM_TIM_diet,2020-10-01 15:36:10,,お茶はとりあえずトクホ茶 #ダイエット　#ダイエットあるある　#ダイエット垢さんと繋がりたい
4,ay_mxaa,2020-10-01 15:36:10,"Sheffield, England",Man I need to go on a diet
5,redmeld,2020-10-01 15:36:10,North Carolina ,@socofthesacred Try lower carb in your diet. That sluggish feeling after meals has to do with the way your body res… https://t.co/xP5VS7zi6V
6,CDDFTDietitian,2020-10-01 15:36:09,"North East, England","RT @BDA_olderpeople: Today is #internationaldayofolderpersons 

We celebrate #dietitians working with #olderadults to #prevent #malnutritio…"
7,journey2fit2018,2020-10-01 15:36:07,"Oak Park, IL","Salt is bad! Oh, no that’s actually not true… salt is a key ingredient in weight gain… oh, that’s false too… Learn… https://t.co/ijTP3WIYaS"
8,Milica_Vukcevic,2020-10-01 15:36:07,Barcelona - Belgrade,@mango_on_diet @mitza_kolacic @buci_buc21 Све је ОК
9,InsanRukesh,2020-10-01 15:36:07,,"RT @Gouravs99924617: Make a little change in your diet and
include exercise in your routine. There
are many suggestions that can keep the h…"
10,CL_feza,2020-10-01 15:36:05,"Kuala Terengganu, Terengganu",Day 1 diet being good.
11,jasmine_jass15,2020-10-01 15:36:05,Delhi ,"RT @StMSGfansworld: To aware masses about the diseases caused by eating non veg food and motivate them to adopt vegetarian diet  
Saint Dr.…"
12,dniysnaidi,2020-10-01 15:36:03,♡smr♡,balik ipoh je makan hm dah boleh start diet kot next week 🙂
13,PeterD23265906,2020-10-01 15:36:02,"EastSussex,South-East England","So, 12 days &amp; 41 eggs. I was sure that our rescue hens would take ages before they settled, we can hardly keep up w… https://t.co/ZKT2vJPIne"
14,43swhore,2020-10-01 15:36:01,"EDNOS, SHE%HER, 6TEEN",@ryujindiet wait no im doing a diet
15,rozi_h14,2020-10-01 15:36:00,Sverige,"Detox-te gjord på vitlök, citron och ingefära. Mycket bra nu till hösten för att boosta immunförsvaret 😍

Detox-tea… https://t.co/oemTuadzeO"
16,gothcat_emilie,2020-10-01 15:36:00,"Paris, France","@headlikahole Biden is bad. But not voting is leaving more room for Trump to win. 
Diet might not taste good, but i… https://t.co/t8CZ0l7MSg"
17,heintz_elsa,2020-10-01 15:35:58,,"RT @CycleKeto: Thinking of starting Keto Diet? We've got you covered 🍳
Take a survey and get a 28-Day step-by-step Keto guide for beginners…"
18,prettie1222,2020-10-01 15:35:57,"California, USA","Lord plz give me the strength .. aint nothing wrong w/me i just decided to go on a diet and just got a ""what you wa… https://t.co/RiOBNJ2lkI"
19,The_Last_Hurdle,2020-10-01 15:35:57,"Silverstone, Northamptonshire",Nailing the new diet/exercise this week - that was my 4th day in a row at the gym. I burnt 827 calories today and h… https://t.co/IURvQlwzCf
20,Odd__Cookie,2020-10-01 15:35:56,Portugal,"@vergilfucks you best be losing those with a HEALTHY diet and not starving yourself, either way amazing job"
