,user,time,location,text
0,EvangelineTsao,2020-10-01 15:22:09,"York, UK",@Jessie_Miko My sister brought a few from Taiwan but you know what they're like (irresistible + short expiry dates)… https://t.co/ThaX96ZmoL
1,SurreyPrepared,2020-10-01 15:19:03,Surrey,"Before the cold sets in refresh the contents of your medicine kit, remembering to check expiry dates.  Don’t throw… https://t.co/54Rd2sS3dl"
2,kojo_may,2020-10-01 15:05:53,Dansoman,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
3,Amit_A_Tiwari,2020-10-01 14:54:25,Bangalore,RT @ourvadodara: VMC health teams to strictly write expiry dates on sweet boxes. This rule is implemented to provide fresh sweets to the pe…
4,weparikhparth,2020-10-01 14:33:47,Gujarat,RT @ourvadodara: VMC health teams to strictly write expiry dates on sweet boxes. This rule is implemented to provide fresh sweets to the pe…
5,ourvadodara,2020-10-01 14:31:59,Vadodara,VMC health teams to strictly write expiry dates on sweet boxes. This rule is implemented to provide fresh sweets to… https://t.co/UKVSjebWYv
6,eziotrot,2020-10-01 14:21:25,,"@jadebullet2 @Abbievdub @BurdenedBraCup @xenogothic The food is passed over to livestock, but I agree, our toleranc… https://t.co/VQ0d8bL3Cs"
7,jessica__jepson,2020-10-01 14:18:55,Rhondda,"@HotelChocolat I’m looking to buy the velvetiser with the family pack as a Christmas gift, and I’m just wondering a… https://t.co/78s7RRBq8R"
8,tweetyburd,2020-10-01 14:15:30,Doing my be-i-ng,"RT @CyberNews_com: On Tuesday, a file package called #Azerbaijan Navy 2020 started circulating on Russian forums. The LEAKED data includes…"
9,Twanomatic2,2020-10-01 14:00:00,"Texas, USA","RT @CyberNews_com: On Tuesday, a file package called #Azerbaijan Navy 2020 started circulating on Russian forums. The LEAKED data includes…"
10,eziotrot,2020-10-01 13:45:11,,@Abbievdub @BurdenedBraCup @xenogothic The food is at least passed on to feed livestock. Though this is undoubtedly… https://t.co/1diIsC8bwQ
11,SwcommsEnergy,2020-10-01 13:30:11,"Exeter, Devon","Do you sometimes wish you had a fairy godmother?
 
Someone who will monitor the expiry dates of your business energ… https://t.co/8LBG3NsrWk"
12,AnthonyGWood1,2020-10-01 13:08:47,"North West, England",Went to @waitrose today and I can see why they are not as the use to be. It if they have covid exhaustion the store… https://t.co/SHwxc2vPox
13,jesseflvcko,2020-10-01 12:48:59,Ghana,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
14,pharzaana,2020-10-01 12:29:46,🇿🇦,I need to stop hoarding food. So like. I’ll get a certain snack or something and I just won’t eat it bc I wanna sav… https://t.co/1yQl2M4S6B
15,djmoneyjungle,2020-10-01 12:28:59,,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
16,undisputedjos19,2020-10-01 12:23:52,Life’s GOOD🥂,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
17,I_rammie,2020-10-01 12:20:41,,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
18,waliyadebisi,2020-10-01 12:12:55,,@channelstv Not reading beyond the headlines is as popular as not checking the expiry dates of product in our society.
19,ODEONHelp,2020-10-01 11:23:59,UK & Ireland,@StormJean246 Hi there. We have lifted the expiry dates on all gift cards for now :) You can find further info here… https://t.co/9vh2eKNMtp
20,sagirmohh,2020-10-01 10:53:45,"Niger, Nigeria","@kenneth2242 @d_atuma @thecableng @tstvafrica Yes. According to them, you can decide to unlock any sport channel wh… https://t.co/Hy7fzxzSZe"
21,BankuAse,2020-10-01 10:04:15,At the Back ,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
22,DavidBoink,2020-10-01 09:50:40,,"Christmas pudd expiry dates are about 5 years long with all that brandy.

#JeremyVine"
23,Aqosua_Papabi,2020-10-01 09:38:30,"Kumasi, Ghana","RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
24,Bryn_De_MC,2020-10-01 09:11:13,I’m here,"RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
25,usuf706,2020-10-01 08:59:09,,@KashifManpower @SHABAZGIL Please also edit manufacturing and expiry dates next time before Photoshop any pic
26,Auwal_A_kourae,2020-10-01 08:22:28,"Auyo, Nigeria","RT @CyberNews_com: On Tuesday, a file package called #Azerbaijan Navy 2020 started circulating on Russian forums. The LEAKED data includes…"
27,nana_attom,2020-10-01 08:15:00,"Sekondi Takoradi, Ghana","RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
28,Sani_ii,2020-10-01 08:11:57,"Abuja, Nigeria","RT @ayerhraf: Money, power and influence got expiry dates, show more LOVE. you never know 

Greetings and Love"
