,user,time,location,text
0,JChapman1729,2020-10-01 15:34:45,"Hexham, England",I’m with @whichuk. @DefraGovUK must #SaveFoodStandards in the Agriculture Bill. Cheap food shouldn't put the health… https://t.co/1YVNCWxRqY
1,TerriEClary,2020-10-01 15:33:35,"California, USA","Anyone ever think that China has been poisoning for us decades? On purpose? Your plates, silverware, food, toys, sm… https://t.co/igQGDAarxI"
2,mehulved,2020-10-01 15:32:56,On a cycle somewhere.,@BorkTales Subway is a scam anyway. I got food poisoning last two times I ate there.
3,shrtypnd,2020-10-01 15:32:11,,"Aku redho kalau dapat food poisoning esok,, haihh bodo btul tak prasan ayam percik dah basi pegi makan lagi haihh"
4,Ajk01249750,2020-10-01 15:32:10,,I’m with @whichuk. @DefraGovUK must #SaveFoodStandards in the Agriculture Bill because I don't want hormone - injec… https://t.co/qfydUNs1KP
5,CulturedBijou,2020-10-01 15:31:35,,@ppvkkbsot @that_gai_gai @Chris1A1999 @K84UnitedLeft This mf said classism isn’t bad. Yea ok dude. 1. We wouldn’t n… https://t.co/oMm57McLVW
6,mbeezy1776,2020-10-01 15:29:21,,"@The_Real_OG I’ve heard hangover, altitude sickness, food poisoning, but it’ll always be the flu for me 😂 the shoes… https://t.co/sNrQcp2r5n"
7,northwind1ndn,2020-10-01 15:29:09,www.facebook.com,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
8,fox_berniefox,2020-10-01 15:28:42,"Los Angeles, CA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
9,GRootsAdvocacy,2020-10-01 15:27:50,All over the World ,RT @CGAExecutiveDir: Food safety is a global concern. Preventing food from contamination and poisoning can be achieved through thorough cle…
10,freebir69196261,2020-10-01 15:26:40,,@DrSubhasree @chitguppi @Ustangord @CDCgov @Mundra08 @mumbaimatterz @MNCDFbombay @frostdeeds @HPR2773 @satejp I had… https://t.co/vKdmb2EnM2
11,socalgecko,2020-10-01 15:26:39,The Swish Alps,"Good on ya, Key West. Never been a fan of those giant food poisoning rafts myself. https://t.co/FEIzv9TFXy"
12,The_Real_OG,2020-10-01 15:26:09,,@mbeezy1776 He on record saying it was food poisoning
13,lunaqistic,2020-10-01 15:26:07,Anime’s world,"Doakan adik i sembuh, i harap cuma demam biasa. Selain covid, i risau juga kalau food poisoning atau denggi."
14,ramirezjackie90,2020-10-01 15:26:00,Mesa Az ,I got food poisoning 🤢
15,Tenor86,2020-10-01 15:23:49,Scottsdale Arizona,@dmarcushammond_ Whatever it is that I have right now. Not sure if food poisoning or covid or what
16,CGothnerKCCI,2020-10-01 15:23:42,"Des Moines, IA",Just over here thinking about how my 2020 got off to a roaring start after getting food poisoning from (most likely… https://t.co/HaKueOIc9U
17,Lyricallyjas,2020-10-01 15:22:37,"Atlanta, GA",@Drashawnna1 Smh idk I think I got food poisoning
18,UnitedForClima1,2020-10-01 15:22:00,,"RT @blackbear1927: Hey @NalcorEnergy, Stop poisoning my river and my food. Rawwr! #MakeMuskratRight #FreeLabrador"
19,AABookstore,2020-10-01 15:21:22,Newfoundland & Labrador 3.2.40,"RT @blackbear1927: Hey @NalcorEnergy, Stop poisoning my river and my food. Rawwr! #MakeMuskratRight #FreeLabrador"
20,GraceKay2006,2020-10-01 15:20:51,Emotionally unavailable :),@ImmenNedda imagine having food poisoning so embarrassing for u luv 😝😫😈
21,dr0se_,2020-10-01 15:20:05,,@ottallah92 I’ve gotten food poisoning from eating there once🥴
22,plasticspiders_,2020-10-01 15:19:19,dms open!!,@danulmao EVERY OTHER WEEK?? Im gonna be sick oh my god how do they not have food poisoning
23,milsad,2020-10-01 15:17:47,,"@wokeorangecrest @MariaLockwood19 @ErrolWebber Food poisoning
Food poisoning, caused by eating contaminated food, c… https://t.co/FxLNKcrXv8"
24,hmwoodw,2020-10-01 15:16:48,,got punished for eating Chick-fil-A by getting the most horrific food poisoning of my life
25,sagansaganking,2020-10-01 15:14:42,"Indo, he/they","@Frances79472096 @redapplesquares The suicide monologues where ""dying is better than living"" which somewhat leads t… https://t.co/Y7Piys7Ems"
26,clairefrenchx,2020-10-01 15:14:05,Twin Cities,me recovering from a boob job and boyfriend with a massive hangover both trying to take care of each other right no… https://t.co/94XKJQ3jtd
27,joleeqh,2020-10-01 15:13:59,Singapore,"All these within an hour?!
“A medical examination found that the woman's death was related to food poisoning, and p… https://t.co/FRtst8IIjh"
28,potatoradz,2020-10-01 15:13:43,,"I’ve got food poisoning from home food, if this isn’t peak 2020 then I don’t know what it is."
29,2Concussions,2020-10-01 15:13:20,"Phoenix, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
30,iwaspoisoned_,2020-10-01 15:12:50,,"Noodles &amp; Company - Castle Rock, Colorado - Got nausea, diarrhea, and vomiting. Castle Rock location. Food Poisoning https://t.co/jmnJkM6VQa"
31,RealResva,2020-10-01 15:11:45,Mood: Happy and proud ,@DianetheMILF @AngelSamuelEsp2 Well I’m not a girl so pregnant out of the question. Maybe food poisoning or a delayed overheating
32,love_of_gosu,2020-10-01 15:09:36,,"고수는 영국의 데일리메일지가 보도하기를, 포르투갈의 연구팀이 코리앤더에서 추출한 기름이 항생제로도 듣지 않는 E.Coli,  살모넬라, MRSA 등의 악성 슈퍼박테리아를 거의 전멸시킨 연구결과가 의학저널에… https://t.co/LbaoA0MatN"
33,Bethanie_Cabral,2020-10-01 15:07:29,NYC | NJ,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
