,user,time,location,text
0,Knine600,2020-10-01 15:35:37,"London, Ontario 🇨🇦","Foreign places is don’t know how good they have it food prices wise, $150 in the foodstore here is a movie, 150 in… https://t.co/CNswBrUa0L"
1,DevPat4,2020-10-01 15:34:27,,@drbrianbrown Brian - please reassure me and many others listening to @mrjamesob by giving me 3 practical (not waff… https://t.co/JCV8unQ7yi
2,herbivore_84,2020-10-01 15:34:10,Dover. ,"@BrianGa17215249 @Haggis_UK @SNAH4PV 2016. It wasn't discussed, it was shouted down as project fear. https://t.co/MhfENeahur"
3,creappraiser,2020-10-01 15:33:18,"Los Angeles, CA","Way higher prices for restaurant food, groceries, retailer items we buy.  All businesses, consumers, tenants, landl… https://t.co/vHz6GpGhre"
4,ViFeelings,2020-10-01 15:33:12,,"what bothers me most is that we have access to so much information--poverty/food threshold, min wage salary, farmga… https://t.co/JqcquF8l0b"
5,djrosenberry,2020-10-01 15:32:48,"Manitou Springs, CO","RT @thknwco: Grab a fork &amp; knife and dig into this week's Stuffed. On the menu today: 

☕ Why coffee prices have gone up 50% in Denver
🏙️ O…"
6,FactsReason,2020-10-01 15:32:25,,"@madsvid @ChrisKimberley @Helen121 @IcelandFoods if we remover EU tariffs on non EU food, prices FALL....     and w… https://t.co/hLFhoxL22E"
7,GoSeeDoATL,2020-10-01 15:30:43,,Try a new place for lunch-Destinations Eatery at GICC. Extraordinary food at amazing prices &amp; awesome service. Lunc… https://t.co/EUvFJ74cIa
8,Hugh02351572,2020-10-01 15:29:48,New Zealand,"RT @pulpyfictorious: Ardern is silly.

Wants to investigate rising food prices.

That's what happens when you increase the minimum wage, sw…"
9,OCHA_Syria,2020-10-01 15:29:05,www.facebook.com/UNOCHA.Syria,RT @WFP_Syria: Syrian families have been hit month after month by rising food prices. Basic foods in the Syrian diet are now too expensive…
10,maddiejhorton,2020-10-01 15:28:57,,RT @Huesof_Hai: Trader Joe’s I hate u bitch. With your reasonable ass prices and healthy food options but NEVER wanna be in the neighborhoo…
11,superkweeen,2020-10-01 15:28:53,,"@NaijaWatch Insecurity.
Police Brutality.
The prices of food stuff are twice their original prices now.
We can't ev… https://t.co/6W8AkEMl4Q"
12,48FullNews,2020-10-01 15:28:04,"Bali , Indonesia","Rena Matsui gets surprised so easily, she has been known to shriek at food prices in the supermarket. #AKB48 #48MemberFact"
13,NIfoodie4EU,2020-10-01 15:27:13,"Northern Ireland, EU ",RT @terrychristian: @SinbadBrookie ' Having to sell up on the cheap to The Swedes and Germans.  And wait until they get back and see the hu…
14,josiebsexton,2020-10-01 15:26:21,"Denver, CO","RT @thknwco: Grab a fork &amp; knife and dig into this week's Stuffed. On the menu today: 

☕ Why coffee prices have gone up 50% in Denver
🏙️ O…"
15,OldBobCyprus,2020-10-01 15:25:46,Cyprus,RT @terrychristian: @SinbadBrookie ' Having to sell up on the cheap to The Swedes and Germans.  And wait until they get back and see the hu…
16,ctannerza,2020-10-01 15:25:19,,@RomanCabanac food prices going to go through the roof
17,1Ashariya2,2020-10-01 15:25:14,Latur ,RT @ThisrtyScholarr: We need more vegetarians so that demand of non veg food decreases and prices come down. https://t.co/sSKaNVyc6U
18,MommaThing,2020-10-01 15:23:57,,So the Idiot-In-Chief wants people to think he purchased the damned food in the boxes just for them. That it has no… https://t.co/DmykXT3Fys
19,DTA_Listens,2020-10-01 15:22:09,"Boston, MA","The maximum monthly #SNAPbenefits will be ⬆️ over 5% to reflect the recent increase in food prices, making these ma… https://t.co/9lpERCtUYk"
20,WaterWorxUK,2020-10-01 15:20:15,"Longridge, UK, 01772 595375",RT @jjfoodservice: Love chef-quality food at wholesale prices? You will love us AND we deliver Next Day 🥩🍤🧀🥦 https://t.co/cMpFIlhcXx https:…
21,070amira,2020-10-01 15:20:07,,"@universesbabyg you should def try rome, its super pretty. and plan about 30€/per day for food if u go, and always… https://t.co/qg4j1utzOm"
22,GxrlUndxclosed,2020-10-01 15:19:53,,"On Nigeria’s 60th Birthday, we sat without power even though the tariff is higher. On Nigeria’s 60th, Food prices a… https://t.co/ylneVzcV1R"
23,_Boricua06,2020-10-01 15:19:50,ikrave/ Axe Capital,🗣Please ppl stock up on food items meat none Perishable items.... I’ve been saying this for a couple of months now.… https://t.co/a1WUbzoZEa
24,lisettelecorgne,2020-10-01 15:18:40,,"RT @camcath: @CoryBooker So much more urgent. Fourth month of not being able to pay rents/ mortgages, pay utilities, just for starters. Foo…"
25,BriLee_____,2020-10-01 15:16:00,"Willimantic, CT",No you buying the food does t change my prices. Not negotiable
