,user,time,location,text
0,Criselda_Ohh,2020-10-01 15:35:57,,@jasmin_selenaa 😂😂 omg mine too!!!! AND it’s like 80% junk food 🤦🏻‍♀️
1,softsadkcal,2020-10-01 15:35:42,20+ | she/her | 152 cm 45kg,@40kqs low cal junk food does makes me wanna eat more into a full blown binge 🤡
2,TheRealJkeems,2020-10-01 15:34:46,"Ontario, Canada","@jeffr5 I’m doing sober October, no weed, booze, fast food or junk food. so I’m with you in a way 😄 you got this though!"
3,jpodczaski,2020-10-01 15:33:27,Baltimore and NYC ,"RT @DMRHerbs: In America, the government (with help from major corporations) has and is willfully dumbing down the population with Sodium F…"
4,sleighy,2020-10-01 15:32:29,Wales,Think it’s time to start paying someone to follow me around and smack junk food out of my hands cos I’m getting out of control 🐷
5,Nickynoneck83,2020-10-01 15:31:55,canada eh!,Reppin local junk food brah. https://t.co/AxHEzQCooT
6,Ozmotix,2020-10-01 15:31:40,,"Can’t heal or stop everything, especially in later stages (maybe!) but nutrition is the sole purpose of the body!!… https://t.co/ww7vOPz9Gi"
7,RogueScholarPr,2020-10-01 15:31:20,,"Junk food fuels junk philosophy

Also, never trust a philosopher with bad posture, his energy centers are disconnec… https://t.co/CqBIfrvj2i"
8,TobyEdgal,2020-10-01 15:31:00,,Na junk food go injure some people las las🙄
9,ionabiddsy,2020-10-01 15:30:28,,literally every shift i do i’m like ugh i’ve worked so hard i’m gonna eat junk food and drink a bottle of wine but… https://t.co/FUasi4NvMU
10,BillyHospice,2020-10-01 15:29:35,"North West, England","RT @wirralhospice: 💙🍻🍨Give something up this October and help raise vital funds for #wirralhospice. You could give up, alcohol, junk food,…"
11,dear_dammy,2020-10-01 15:29:32,,"To stop a bad eating habits, try these 3 tips: 

-Make that habit inconvenient: A good way is not to store junk foo… https://t.co/B8iPTxI8bh"
12,marie_cooper18,2020-10-01 15:28:40,"Atmore, AL",@mustbe_kei I know he hungry all he wanna eat is junk food and beg for that cup every two seconds .
13,arturo12aag,2020-10-01 15:28:15,,"RT @fatehshernu: You: ""I have anxiety!""

Also you :

- No sun
- Never read
- Zero Exercise
- Fuck all sleep
- Junk Food all-day
- Binge-wat…"
14,colleenpierrerd,2020-10-01 15:26:44,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
15,sophiamarkoulak,2020-10-01 15:26:07,"San Francisco, CA",Donated food now comes with Junk Mail. https://t.co/9iBO1dLHMV
16,tokee75,2020-10-01 15:25:55,"Cairo, Egypt","@jaredtoay @SebastienneL Often junk food is unhealthy, so home meals are best."
17,JoshSiemens1,2020-10-01 15:25:24,,"@MediaStudies_WU @MediaStudies_WU with the amount of junk food being produced these days, it is no wonder health is… https://t.co/aj1tG6vvEF"
18,SalmanNaseer,2020-10-01 15:25:15,Islamabad,"@cobraaay Because you eat a lot of junk food. Stop eating McDonald's, pls."
19,GurbinderKaurB2,2020-10-01 15:23:33,,"RT @iambutterlion: More than 60% of Indian population is suffering from a lot of heart problems , liver problem , and internal organ proble…"
20,fxcuteu,2020-10-01 15:23:12,,[BOT] Amber doesn't eat junk food anymore.
21,adorelle,2020-10-01 15:22:35,ohio,"day one of eating intentionally.

🚫 drinking
🚫 junk food/candy
🚫 juice (unless juiced by me)

a few other things bu… https://t.co/RmxWWReep7"
22,MistressofMelo1,2020-10-01 15:21:21,,@NInterit @gummibear737 I follow health &amp; nutrition. You can add USDA and their Guidelines that are good for only 1… https://t.co/KIrJOVcZb0
23,Thatheelz,2020-10-01 15:21:12,Abdullah,WWF really clear out junk food in your system that could affect your kidney due to failure of digestion.
24,FabFitIndian,2020-10-01 15:20:34,India,"RT @FabFitIndian: Celebrity gossip, sensational news and social outrage are all junk food for the brain. 

Be careful what you feed your br…"
25,WaywardWinds,2020-10-01 15:20:26,Tehran تهران,"تعداد ۱۸۶ ریتوییت و یه عالمه کامنت ذیل این توییت شده بود.
برای خاطره خودم و یادآوری به خودم که با چه افرادی در این… https://t.co/xKYQehGKay"
26,MCCC381,2020-10-01 15:20:24,United States,"Considering all the additives, preservatives, and other junk in most US 'bread', they should all be labeled as 'not… https://t.co/jLLHns4QwT"
27,PatriciaMorone3,2020-10-01 15:17:03,,"Bye bye Subway, junk food."
28,Romy_USA,2020-10-01 15:16:59,"Los Angeles, CA 🌊 ",@thejournal_ie Loads of sugar and chemicals used in shoe rubber and yoga mats... ewww Stop eating junk food!!
29,heymuzz,2020-10-01 15:16:32,,@khawajayy Buy myself some junk food. Maybe a shawarma. A giant cup of coffee. Sit alone on the roof when it's almo… https://t.co/xMwGzNA0tN
30,kaseyqcarlson,2020-10-01 15:14:59,St. Louis ,RT @feastmag: The St. Louis restaurant specializes in vegan riffs on junk food https://t.co/K1GPuqTx3W
31,feastmag,2020-10-01 15:14:09,Missouri,The St. Louis restaurant specializes in vegan riffs on junk food https://t.co/K1GPuqTx3W
32,big_simp,2020-10-01 15:13:53,The Multiverse,@rob_miller12345 Imagine how trashed everything will become. Like a crappy post ww2 50s Stalinist Russia except fes… https://t.co/jyN98i1cdH
33,PicolloVGC,2020-10-01 15:11:42,Essen,@Cariichan91 Bin ich dabei ich hab mir vorgenommen mich weniger von junk food zu ernähren und mal sehen...
34,SamAshleyBlogs,2020-10-01 15:10:36,"Columbus, Ohio","I’m not typically a super emotional person, but the last year has changed me. And today I’ve cried twice at the pai… https://t.co/q6cFRqQiXn"
35,jpclarkdc,2020-10-01 15:10:07,,"If we were meant to stay in one place, we'd have roots instead of feet. Avoid processed junk food. Eat real food in… https://t.co/CXXEy5bydU"
36,Keitmidldleton,2020-10-01 15:09:41,,Apa cuma gw yg ketika makan fast food or nasi2 mentai gitu or junk food besokannya sembelit? Jujur.
37,PotentialH7,2020-10-01 15:09:18,National Capital Region,@justdifferent12 Soda staple ko yan. Nakaka 3 bottle ako ng 1.5 a week. Tapos junk food din while watching tv. Doomed for life
38,KellySomers7,2020-10-01 15:07:49,"Easton,MD","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
39,HankLewisLLC,2020-10-01 15:05:11,"Oregon, USA","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
40,theonlynanij,2020-10-01 15:04:49,"Long Beach, CA",So ima challenge myself to not eat any junk food and chocolate until the 31st. I know I can do it😤
41,DataforcSandra,2020-10-01 15:03:06,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
42,haruu1510,2020-10-01 15:02:37,,"Tapi gua dah paham kok, semua ada jalannya, ada hikmahnya juga. Gua jadi bisa lebih aware sama badan gua, jadi lebi… https://t.co/JXZbRG1ILX"
43,nhhslou,2020-10-01 15:01:29,#VIC: read unbelievers,im in need of junk food
44,WallaceConquers,2020-10-01 15:01:20,Reston VA,RT @Cali_Sass: I wonder if junk food and bread miss my fat ass as much as I miss them.
45,gurdeepmahi007,2020-10-01 15:01:14,"Barnala, Punjab","RT @iambutterlion: More than 60% of Indian population is suffering from a lot of heart problems , liver problem , and internal organ proble…"
46,jdmcel,2020-10-01 15:01:02,RI,@Clong03 @TDA3397 I like it. Must be junk food so it gets taxed. Its not healthy!
47,Laffingnan,2020-10-01 14:59:43,Kernow,"@BBCWorld Junk food contributing to the obesity crisis this country has. Forty years ago, obese people were a novel… https://t.co/BwkEyceT4a"
48,motorcycle_boii,2020-10-01 14:58:16,"she/her, 05☆나는 좋은 사람? 아님 나쁜 사람? 
평가는 가지각색 그냥 나도 사람 eh
다들 살아가겠지 yeah 다들 사랑하겠지
다들 바래가겠지  잊혀가겠지 사람들은 변하지 나도 변했듯이 세상살이 영원한 건 없어","mom: don't eat only junk food, heat up something 

me: continues to only eat hot cheetos till dinner"
49,manofletterz,2020-10-01 14:58:14,The Sewers of Derry,RT @CrownAndCoke4: Send junk food and your booty.
50,Poteto3__Loizz,2020-10-01 14:58:09,,だってライブ終わった直後にエラーなってタイトル戻らされてもっかい開いたらスタミナ8ぐらい減ってる3消費にしてるのに https://t.co/1YZvLA7XBv
51,JasonAStanley,2020-10-01 14:57:59,Reality,"RT @AndrewBellBNN: and that is why they call it junk food

Sandwiches in Subway 'too sugary to meet legal definition of being bread' https:…"
52,mynamesjed,2020-10-01 14:57:29,Black Lives Matter ,"wish I was the type of person who something goes wrong for me I dye my hair or get a piercing, instead I’m the dysf… https://t.co/eANl7IFZmL"
53,JMLOrbitz,2020-10-01 14:57:25,Manila,Medyo nafrustrate ako ng slight. How can she be lighter than me in terms of weight eh sobrang unhealthy ng lifestyl… https://t.co/oncHrbU5H4
54,Poteto3__Loizz,2020-10-01 14:57:24,,もうプロセカやらん(ど短期)
55,MagdalenaHuds18,2020-10-01 14:57:16,,"RT @1renist: Excellent decision that for VAT purposes this isn’t a staple food, but junk food: modern industrially produced breads are so f…"
56,fatehshernu,2020-10-01 14:56:29,Get my Weekly Emails  ⬇️,"RT @fatehshernu: You: ""I have anxiety!""

Also you :

- No sun
- Never read
- Zero Exercise
- Fuck all sleep
- Junk Food all-day
- Binge-wat…"
57,iainrm70,2020-10-01 14:56:04,"southwest
",RT @BattleReady360: Fancy a snack? It's so easy to munch on quick and easy convenience junk food. Fuel yourself between meals with our Batt…
58,GuerinMaxim,2020-10-01 14:55:26,,"Podcast ce soir tard, attention ce sera un podcast de rumeurs, de pourparlers et de valeurs de joueurs au travers d… https://t.co/cyJzJC1nUn"
59,phillip92321,2020-10-01 14:55:09,"Chicago, IL","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
60,NorthBelle4,2020-10-01 14:55:06,Treaty 13 - The Big Smoke.,"@black_mixed My hubby+I have not eaten out since March 18.

We're cooking everything from scratch.

We've noticed a… https://t.co/RSIvBcVz2I"
61,yessika_ortega,2020-10-01 14:54:37,,As soon i get home heating up my moms tamales she made a cup of coffee and buy sushi maybe and a bunch of junk food… https://t.co/VHqECjRGK3
62,jgcOCANADA,2020-10-01 14:54:24,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
63,kirklandRI01,2020-10-01 14:54:18,,@Bevvie112 We are lab rats. The cheap junk food the gun stores the liquor stores. Everything was an experiment aka project
64,CrownAndCoke4,2020-10-01 14:54:10,"Alberta, Canada",Send junk food and your booty.
65,Cali_Sass,2020-10-01 14:53:58,,I wonder if junk food and bread miss my fat ass as much as I miss them.
