,user,time,location,text
0,Keepitrunning25,2020-10-01 15:36:09,Halesworth Suffolk,"RT @Rachael_Swindon: Saddening. Unfortunately we can’t all afford roast sea bream with fennel, sourdough, preserved lemons, and seasonal ve…"
1,dinah_wise,2020-10-01 15:36:02,,RT @The_RHS: Gerald Stratford @geraldstratfor3 from Oxfordshire became quite an internet sensation over lockdown where he’s been showcasing…
2,image_magazine,2020-10-01 15:36:01,Ireland,"A good warming soup, preferably one that uses plenty of hearty vegetables and protein, is the perfect remedy to a d… https://t.co/p9LfJYln1r"
3,kcfaul,2020-10-01 15:35:57,"Boulder, Seattle, LA, Oregon","RT @DrColJ__: South Carolina is having a drive-through State Fair with the standard competitions/exhibits, livestock, crafts, vegetables, e…"
4,KateOFla,2020-10-01 15:35:44,,"RT @agriculture_ie: We welcome the new Healthy Eating Guidelines for one to four years olds by @roinnslainte today.

It recommends they eat…"
5,yvettethatisall,2020-10-01 15:35:42,,RT @ZubyMusic: I still can't get over the fact that somebody told me 99% of black communities don't have access to fruit and vegetables...…
6,dinah_wise,2020-10-01 15:35:38,,"RT @The_RHS: You can buy seeds for a variety of carrots from the RHS Shop to give growing a go at home. 

Find them here: https://t.co/i4Ju…"
7,rudeboystaxx,2020-10-01 15:35:33,,"RT @Mangan150: @ZubyMusic Fruits and vegetables are vastly overrated in terms of health. Like you say, lack of protein is much more concern…"
8,taubert_martin,2020-10-01 15:35:32,,"My first CO2-neutral #veggie-box arrived, full of #organic fruits and vegetables that otherwise would have gone to… https://t.co/WYPSJyIzxA"
9,Eric_OGrey,2020-10-01 15:35:26,"Sacramento, CA","Vegan Joke O’The Day:

If a store that that sells meat can be called gross, what can you call a store that sells ve… https://t.co/AvzaApTrfa"
10,JustsomeA,2020-10-01 15:35:25,,RT @ZubyMusic: I still can't get over the fact that somebody told me 99% of black communities don't have access to fruit and vegetables...…
11,RedsTheBest23,2020-10-01 15:35:22,,RT @ZubyMusic: I still can't get over the fact that somebody told me 99% of black communities don't have access to fruit and vegetables...…
12,sue_etha,2020-10-01 15:35:18,,@MHPoskitt @Tesco @sainsburys @AldiUK @waitrose @LidlGB If you purchase from this vile family you are supporting il… https://t.co/pdzt8JkVDK
13,7counting,2020-10-01 15:35:14,,"RT @ZubyMusic: Even in very poor parts of Africa, the people have access to fruit and vegetables.

Problem is, that's often ALL they have a…"
14,7counting,2020-10-01 15:35:12,,RT @ZubyMusic: I still can't get over the fact that somebody told me 99% of black communities don't have access to fruit and vegetables...…
15,sexy_vegetables,2020-10-01 15:35:07,,"&lt;br&gt;In the new Disney Channel Original Movie, Hannah Montana struggles with __________ for the first time. &lt;br&gt; &lt;br… https://t.co/EjjCiZDoiK"
16,violeta05832167,2020-10-01 15:35:07,,"RT @pngtree: World Vegetarian Day is October 1st! Challenge yourself to only eat vegetables today #WorldVegetarianDay 
https://t.co/hcwisH7…"
17,InsanRukesh,2020-10-01 15:35:05,,"RT @Insan_MSGkiPari: Today's #WorldVegetarianDay
If you wish to have healthy skin then you need to eat the right amount of vitamins and min…"
18,Hamgstark,2020-10-01 15:34:58,"Dubai, United Arab Emirates",@milindrunning Human teeths are made to eat meat also vegetables.
19,ShamurDeAwesome,2020-10-01 15:34:58,"Gretna, LA","RT @da13thsun: I have a serious question...

If Rain does not wash away Th Illusions of a VIRUS.

Then what about all Th Food you eat?

All…"
20,Philosoph_Stove,2020-10-01 15:34:39,London,"RT @Thomolunatic: Wrote this recently and I put it on linkedin. ""Old fashioned, medieval root vegetables""
Skirret, salsify, scorzonera...re…"
21,Ebuchineke,2020-10-01 15:34:26,,"@undadza_23 It's like vegetables soup, a native soup in Nigeria"
22,kamleshpatel_kp,2020-10-01 15:34:01,,"RT @IndiaShoppe: On #WorldVegetarianDay , we think there's nothing better than a homecooked meal that is full of nutrients, carbs, proteins…"
23,violeta05832167,2020-10-01 15:33:58,,"RT @EatAtLeRustique: AVAILABLE TODAY: Easter Roast Leg of Lamb - Kes. 1,200/- Served with mint sauce, roasted vegetables and roast potatoes…"
24,GrowingProduce,2020-10-01 15:33:58,,"4 #Organic Vegetable Growers Share Their #PestControl Secrets 
https://t.co/6mrpCPyhGi @BowlesFarming"
25,bryantjmoore1,2020-10-01 15:33:53,"Oklahoma City, OK",RT @ZubyMusic: I still can't get over the fact that somebody told me 99% of black communities don't have access to fruit and vegetables...…
